company_name,insurance_plan_name,individual_annual_deductible,ov,er,uc,spc,ho
UnitedHealthCare,MTRO GT 40/75/6500/50 EPO HSA 23 BRONZE NS INN DEP 25 DP FP,6500,40,500,80,75,50%
UnitedHealthCare,MTRO GT 7000/100 EPO HSA 23 BRONZE NS INN DEP 25 DP FP,7000,0,0,0,0,0
Oscar,BRONZE 7300 INN CIRCLE DEP 25 PEDIATRIC DENTAL NSD DP FP,7300,30%,30%,30%,30%,30%
Oscar,BRONZE 7300 INN CIRCLE DEP 25 PEDIATRIC DENTAL NSD FP,7300,30%,30%,30%,30%,30%
Empire,EMPIRE EPO 8450 50 9100 BRONZE INN CONNECTION DEP 25 WELLNESS PEDIATRIC DENTAL DP C OPT OUT,8450,20,300,100,50,500
Empire,EMPIRE EPO 8450 50 9100 BRONZE INN CONNECTION DEP 25 WELLNESS PEDIATRIC DENTAL DP FP RE A OPT OUT,8450,20,300,100,50,500
Empire,EMPIRE EPO 8450 50 9100 BRONZE INN CONNECTION DEP 25 WELLNESS PEDIATRIC DENTAL DP FP,8450,20,300,100,50,500
UnitedHealthCare,MTRO GT 35/50/4000/70 EPO HSA 23 SILVER NS INN DEP 25 DP FP,4000,35,500,80,50,30%
UnitedHealthCare,MTRO GT 30/80/3750/60 EPO 23 SILVER NS INN DEP 25 DP FP,3750,30,50%,80,80,40%
Empire,EMPIRE EPO 8450 50 9100 BRONZE INN BLUE ACCESS DEP 25 WELLNESS PEDIATRIC DENTAL DP C OPT OUT,8450,20,300,100,50,500
Empire,EMPIRE EPO 8450 50 9100 BRONZE INN BLUE ACCESS DEP 25 WELLNESS PEDIATRIC DENTAL DP FP RE A OPT OUT,8450,20,300,100,50,500
Empire,EMPIRE EPO 8450 50 9100 BRONZE INN BLUE ACCESS DEP 25 WELLNESS PEDIATRIC DENTAL DP FP,8450,20,300,100,50,500
UnitedHealthCare,MTRO NG 30/80/3750/60 EPO ME 23 SILVER NS INN DEP 25 DP FP,3750,30,50%,80,80,40%
UnitedHealthCare,MTRO GT 40/80/3250/60 EPO 23 SILVER NS INN DEP 25 DP FP,3250,40,50%,75,80,40%
Oscar,SILVER $3250 HSA INN CIRCLE DEP 25 PEDIATRIC DENTAL DP FP,3250,30%,30%,30%,30%,30%
Oscar,SILVER $3250 HSA INN CIRCLE DEP 25 PEDIATRIC DENTAL FP,3250,30%,30%,30%,30%,30%
Empire,EMPIRE EPO 3000 50 9100 SILVER INN CONNECTION DEP 25 WELLNESS PEDIATRIC DENTAL DP C OPT OUT,3000,40,50%,75,70,50%
Aetna,AETNA MEDICARE ASSURE PLAN HMO D-SNP H3312-069,8300,0,0,0,0,0
Aetna,AETNA MEDICARE EAGLE PLAN PPO H5521-320,7550,0,95,60,35,395
Cigna,CIGNA OPEN ACCESS PLUS PPO 90,500,30,250,50,45,10%
Cigna,CIGNA OPEN ACCESS PLUS IN,0,25,50,25,25,150
Cigna,CIGNA CONNECT 6500,6500,50%,50%,75,50%,50%
